,Ticker,Open,High,Low,Close,Volume,Change,ChangePercent,Type,MarketCap,SharesFloat,SharesOutstanding,SharesShort,SharesShortRatio,SharesShortPercentOfFloat,SharesInsidersPercent,SharesInstitutionsPercent,Beta,TotalAssets,NAV,Date
2064,HIE,6.29,6.4799,6.29,6.46,176306.0,0.19000006,0.030303039,EQUITY,120741920.0,,18690700.0,167774.0,1.57,,0.0,0.39244998,,,,2020-11-05
2065,HIFS,207.33,207.74,207.6,207.6,1499.0,0.3600006,0.0017371193,EQUITY,443620448.0,1297910.0,2136900.0,18407.0,4.01,0.0094,0.28925,0.34592998,,,,2020-11-05
2066,HIG,38.78,40.45,38.66,39.94,2855960.0,1.7299995,0.045276094,EQUITY,14311699456.0,356727800.0,358329984.0,4956207.0,1.95,0.015700001,0.00437,0.92670995,0.971318,,,2020-11-05
2067,HII,151.99,159.45,148.85,151.81,683411.0,1.0899963,0.007231929,EQUITY,6147120640.0,39403725.0,40492200.0,929583.0,2.55,0.026800001,0.024430001,0.87184,0.904735,,,2020-11-05
2068,HIL,1.38,1.4,1.33,1.35,1454673.0,-0.00999999,-0.0073529347,EQUITY,75684648.0,42136141.0,56062700.0,234461.0,0.38,0.0043,0.13943,0.5459,1.738444,,,2020-11-05
2069,HIMX,3.62,3.79,3.62,3.78,619730.0,0.20000005,0.055865936,EQUITY,650855488.0,123542703.0,172184000.0,2913383.0,3.97,,0.30344,0.14059,1.247463,,,2020-11-05
2070,HIO,4.97,5.03,4.97,5.0,379179.0,0.03999996,0.008064508,EQUITY,635129984.0,,127026000.0,67625.0,0.25,,0.0,0.53603,0.600901,,,2020-11-05
2071,HIW,30.96,31.65,30.875,31.47,652660.0,0.6499996,0.021090187,EQUITY,3269607168.0,102582360.0,103896000.0,1090354.0,0.85,0.0145000005,0.01248,0.95502996,0.945321,,,2020-11-05
2072,HIX,6.6,6.67,6.6,6.62,299091.0,0.029999733,0.0045523113,EQUITY,557661504.0,,84238896.0,198124.0,0.72,,0.0,0.33199,0.86133,,,2020-11-05
2073,HKIB,6.8,6.8,6.8,6.8,950.0,-0.049999714,-0.007299228,EQUITY,3789796608.0,11816368.0,245611008.0,17316.0,2.87,,0.0,0.052399997,,,,2020-11-05
2074,HL,5.08,5.57,5.06,5.52,10995178.0,0.75,0.1572327,EQUITY,2918843392.0,521621563.0,528776000.0,9185109.0,1.15,0.0197,0.018099999,0.57458997,2.16492,,,2020-11-05
2075,HLF,47.78,49.6,47.71,48.98,1229468.0,1.5,0.03159225,EQUITY,6490486784.0,88660055.0,132513000.0,7013713.0,7.9,0.1058,0.09746,0.78279996,1.167981,,,2020-11-05
2076,HLG,66.03,66.2,65.01,65.16,8342.0,-0.6899948,-0.010478282,EQUITY,1679701120.0,3278206.0,25778100.0,9140.0,1.64,,0.0,0.00818,-0.076662,,,2020-11-05
2077,HLI,64.0,65.14,63.47,64.85,374850.0,0.98999786,0.015502629,EQUITY,4526691840.0,47979551.0,51506200.0,1133411.0,2.91,0.022,0.0014300001,0.98046,0.714768,,,2020-11-05
2078,HLIO,45.08,45.0,43.35,44.65,49898.0,1.6100006,0.037407078,EQUITY,1433796352.0,29473993.0,32111900.0,520504.0,5.44,0.024,0.09137,0.89286005,1.188086,,,2020-11-05
2079,HLIT,6.2,6.37,6.18,6.3,554306.0,0.1800003,0.029411815,EQUITY,615811136.0,85404176.0,97747800.0,7645365.0,11.36,0.116000004,0.03632,0.89223,0.878804,,,2020-11-05
